Illness;Link;Symptoms
Celiac disease - resources;https://medlineplus.gov/ency/article/002194.htm;No symptoms section found.
Cell phones and cancer;https://medlineplus.gov/ency/article/007151.htm;No symptoms section found.
Cellulite;https://medlineplus.gov/ency/article/002033.htm;No symptoms section found.
Cellulitis;https://medlineplus.gov/ency/article/000855.htm;Symptoms of cellulitis include:FeverwithchillsandsweatingFatiguePain or tenderness in the affected areaSkin redness or inflammationthat gets bigger as the infection spreadsSkin sore orrashthat starts suddenly, and grows quickly in the first 24 hoursTight, glossy, stretched appearance of the skinWarm skin in the area of rednessMuscle achesand joint stiffness from swelling of the tissue over the jointNausea and vomiting
Centipede;https://medlineplus.gov/ency/article/002842.htm;This poison is found only in centipedes.
Central diabetes insipidus;https://medlineplus.gov/ency/article/000460.htm;Symptoms of central diabetes insipidus include:Increased urine productionExcessive thirstConfusion and changes in alertness due to dehydration and higher than normal sodium level in the body, if the person is unable to drink
Central line infections - hospitals;https://medlineplus.gov/ency/patientinstructions/000474.htm;You may have a central line if you:Need antibiotics or other medicines for an extended period of timeRequire nutrition or hydration because your bowels are not working correctly and do not absorb enough nutrients and caloriesNeed to receive a large amount of blood or fluid quicklyNeed to have blood samples taken more than once a dayNeed kidney dialysisAnyone who has a central line can get an infection. Your risk is higher if you:Are in the intensive care unit (ICU)Have a weakened immune system or serious illnessAre having a bone marrow transplant or chemotherapyHave the line for a long timeHave a central line in your groin
Central nervous system;https://medlineplus.gov/ency/article/002311.htm;No symptoms section found.
Central serous choroidopathy;https://medlineplus.gov/ency/article/001612.htm;Symptoms may include:Dim and blurred blind spot in the center of visionDistortion of straight lines with the affected eyeObjects appearing smaller or farther away with the affected eye
Central sleep apnea;https://medlineplus.gov/ency/article/003997.htm;People with central sleep apnea have episodes of disrupted breathing during sleep.Other symptoms may include:Chronic fatigueDaytime sleepinessMorning headachesRestless sleepOther symptoms may occur if the apnea is due to a problem with the nervous system. Symptoms depend onÂ theÂ parts of the nervous system that are affected,Â and may include:Shortness of breathSwallowing problemsVoice changesWeakness or numbness throughout the body
Central venous catheter - dressing change;https://medlineplus.gov/ency/patientinstructions/000156.htm;Central venous catheters are used when people need medical treatment over a long period.You may need antibiotics or other medicines for weeks to months.You may need extra nutrition because your bowels are not working correctly.You may be receiving kidney dialysis.You may be receiving cancer drugs.You'll need to change your dressing often, so that germs don't get into your catheter and make you sick. Follow your health care provider's instructions on changing your dressing. Use this sheet to help remind you of the steps.You should change the dressing about once a week. You will need to change it sooner if it becomes loose or gets wet or dirty. After some practice, it will get easier. A friend, family member, caregiver, or your provider may be able to help you.Your provider will tell you when you can shower or bathe after surgery. When you do, make sure the dressings are secure and your catheter site is staying dry. Do not let the catheter site go under water if you are soaking in the bathtub.
Central venous catheter - flushing;https://medlineplus.gov/ency/patientinstructions/000157.htm;Central venous catheters are used when people need medical treatment over a long period.You may need antibiotics or other medicines for weeks to months.You may need extra nutrition because your bowels are not working correctly.You may be receiving kidney dialysis.Follow your health care provider's instructions on how to flush your catheter. A family member, friend, or caregiver may be able to help you with the flushing. Use this sheet to help remind you of the steps.
Central venous catheters - ports;https://medlineplus.gov/ency/patientinstructions/000491.htm;A port is placed under your skin in a minor surgery. Most ports are placed in the chest. But they may also be placed in the arm.You may be placed into a deep sleep so you do not feel pain during surgery.You may stay awake and receive medicines to help you relax and numb the area so you do not feel pain.You can go home after your port is placed.You will be able to feel and see a quarter-sized bump under your skin where your port is.You may be a little sore for a few days after surgery.Once you have healed, your port should not hurt.
Central venous line - infants;https://medlineplus.gov/ency/article/007246.htm;No symptoms section found.
Cerebral amyloid angiopathy;https://medlineplus.gov/ency/article/000719.htm;CAA can cause bleeding into the brain. Bleeding often occurs in the outer parts of the brain, called the cortex, and not the deep areas. Symptoms occur because bleeding in the brain harms brain tissue. Some people have gradual memory problems. When a CT scan is done, there are often signs that they have had bleeding in the brain that they may not have realized.If there is a lot of bleeding, immediate symptoms occur and resemble a stroke. These symptoms include:DrowsinessHeadache(usually in a certain part of the head)Nervous system changes that may start suddenly, includingconfusion,delirium,double vision, decreased vision, sensation changes, speech problems,weakness, orparalysisSeizuresStupor orcoma(rarely)VomitingIf bleeding is not severe or widespread, symptoms can include:Episodes of confusionHeadaches that come and goLoss of mental function (dementia)Weakness or unusual sensations that come and go, and involve smaller areasSeizures
Cerebral angiography;https://medlineplus.gov/ency/article/003799.htm;Before the procedure, your health care provider will examine you and order blood tests.Tell your provider if you:Have a history of bleeding problems or take medicines that are blood thinnersHave had an allergic reaction to x-ray contrast dye or any iodine substanceMay be pregnantHave kidney function problemsYou may be told not to eat or drink anything for 4 to 8 hours before the test.When you arrive at the testing site, you will be given a hospital gown to wear. You must remove all jewelry.
Cerebral arteriovenous malformation;https://medlineplus.gov/ency/article/000779.htm;In about one half of people with AVMs, the first symptoms are those of astrokecaused by bleeding in the brain.Symptoms of an AVM that is bleeding are:ConfusionEar noise/buzzing(also called pulsatile tinnitus)Headachein one or more parts of the head, may seem like a migraineProblems walkingSeizuresSymptoms due to pressure on one area of the brain include:Vision problemsDizzinessMuscle weaknessin an area of the body or faceNumbness in an area of the body
Cerebral hypoxia;https://medlineplus.gov/ency/article/001435.htm;Symptoms of mild cerebral hypoxia include:Change in attention (inattentiveness)Poor judgmentSpeech disorderUncoordinated movementSymptoms of severe cerebral hypoxia include:Complete unawareness and unresponsiveness (coma)No breathingNo response of the pupils of the eye to light
Cerebral palsy;https://medlineplus.gov/ency/article/000716.htm;"Symptoms of CP can be very different between people with this group of disorders. Symptoms may:Be very mild or very severeOnly involve one side of the body or both sidesBe more pronounced in either the arms or legs, or involve both the arms and legsSymptoms are usually seen before a child is 2 years old. Sometimes symptoms begin as early as 3 months. Parents may notice that their child is delayed in reaching developmental stages such as sitting, rolling, crawling, or walking.There are several different types of cerebral palsy. Some people have a mix of symptoms.Spastic CP is the most common type. Symptoms include:Muscles that are very tight and do not stretch. They may tighten even more over time.Abnormal walk (gait) -- arms tucked in toward the sides, knees crossed or touching, legs make ""scissors"" movements, walk on the toes.Joints are tight and do not open all the way (called joint contracture).Muscle weakness or loss of movement in a group of muscles (paralysis).Symptoms may affect one arm or leg, one side of the body, both legs, or both arms and legs.The following symptoms may occur in other types of CP:Abnormal movements (twisting, jerking, or writhing) of the hands, feet, arms, or legs while awake, which gets worse during periods of stressTremorsUnsteady gaitLoss of coordinationFloppy muscles, especially at rest, and joints that move around too muchOther brain and nervous system symptoms may include:Learning disabilities are common, but intelligence can be normalSpeech problems (dysarthria)Hearing or vision problemsSeizuresPain, especially in adults, which can be difficult to manageEating and digestion symptoms:Difficulty sucking or feeding in infants, or chewing and swallowing in older children and adultsVomiting or constipationOther symptoms:Increased droolingSlower than normal growthIrregular breathingUrinary incontinence"
Cerebral palsy - resources;https://medlineplus.gov/ency/article/002167.htm;No symptoms section found.
Cerebrospinal fluid (CSF) collection;https://medlineplus.gov/ency/article/003428.htm;You will need to give the health care team your consent before the test. Tell your provider if you are on any aspirin or any other blood-thinning medicines.After the procedure, you should plan to rest for several hours, even if you feel fine. This is to prevent fluid from leaking around the site of the puncture. You will not need to lie flat on your back the entire time. If you develop a headache, it may be helpful to drink caffeinated beverages such as coffee, tea or soda.
Cerebrospinal fluid (CSF) culture;https://medlineplus.gov/ency/article/003769.htm;Follow instructions on how to prepare for a spinal tap.
Certified nurse-midwife;https://medlineplus.gov/ency/article/002000.htm;No symptoms section found.
Ceruloplasmin blood test;https://medlineplus.gov/ency/article/003662.htm;No special preparation is needed.
Cervical cancer;https://medlineplus.gov/ency/article/000893.htm;Most of the time, early cervical cancer has no symptoms. Symptoms that may occur include:Abnormal vaginal bleeding between periods, after intercourse, or after menopauseVaginal discharge that does not stop, and may be pale, watery, pink, brown, bloody, or foul-smellingPeriods that become heavier and last longer than usualCervical cancer may spread to the vagina, lymph nodes, bladder, intestines, lungs, bones, and liver. Often, there are no problems or symptoms until the cancer is advanced and has spread. Symptoms of advanced cervical cancer may include:Abdominal painBack painBone pain or fracturesFatigueLeaking of urine or feces from the vaginaLeg painLoss of appetitePelvic painSingle swollen legWeight loss
Cervical cancer - screening and prevention;https://medlineplus.gov/ency/patientinstructions/000419.htm;Almost all cervical cancers are caused by the HPV (human papilloma virus).HPV is a common virus that spreads through sexual contact.Certain types of HPV are more likely to lead to cervical cancer. These are called high-risk types of HPV.Other types of HPV cause genital warts.HPV can be passed from person to person even when there are no visible warts or other symptoms.
Cervical dysplasia;https://medlineplus.gov/ency/article/001491.htm;Most of the time, there are no symptoms.
Cervical MRI scan;https://medlineplus.gov/ency/article/007354.htm;"You may be asked not to eat or drink anything for 4 to 6 hours before the scan.Tell your health care provider if you are afraid of closed spaces (have claustrophobia). You may be given a medicine to help you feel sleepy and less anxious. Your provider may suggest an ""open"" MRI, in which the machine is not as close to the body.Before the test, tell your provider if you have:Brain aneurysm clipsCertain types of artificial heart valvesHeart defibrillator or pacemakerInner ear (cochlear) implantsKidney disease or dialysis (you may not be able to receive contrast)Recently placed artificial joints or surgery with implanted metal screws and platesCertain types of vascularstentsWorked with sheet metal in the past (you may need tests to check for metal pieces in your eyes)Because the MRI contains strong magnets, metal objects are not allowed into the room with the MRI scanner:Pens, pocketknives, and eyeglasses may fly across the room.Items such as jewelry, watches, credit cards, and hearing aids can be damaged.Pins, hairpins, metal zippers, and similar metallic items can distort the images.Removable dental work should be taken out just before the scan."
Cervical polyps;https://medlineplus.gov/ency/article/001494.htm;Polyps do not always cause symptoms. When symptoms are present, they may include:Very heavy menstrual periodsVaginal bleeding after douching or intercourseAbnormal vaginal bleedingaftermenopauseor between periodsWhite or yellow mucus (leukorrhea)
Cervical spine CT scan;https://medlineplus.gov/ency/article/007351.htm;Some exams use a special dye, called contrast that is put into your body before the test starts. Contrast helps certain areas show up better on the x-rays.Contrast can be given in different ways:It may be given through a vein (IV) in your hand or forearm.It may be given as an injection into the space around the spinal cord.If contrast is used, you may also be asked not to eat or drink anything for 4 to 6 hours before the test.Let your health care provider know if you have ever had a reaction to contrast. You may need to take medicines before the test to avoid this problem.Before having the contrast, tell your provider if you take the diabetes medicine metformin (Glucophage). You may need to take extra steps before the test if you take this drug.Too much weight can cause damage to the scanner's working parts. Find out if the CT machine has a weight limit if you weigh more than 300 pounds (135 kilograms).You will wear a hospital gown during the study. You will need to take off all jewelry as metal can affect the CT images.
Cervical spondylosis;https://medlineplus.gov/ency/article/000436.htm;Symptoms often develop slowly over time. But they may start or get worse suddenly. The pain may be mild, or it can be deep and so severe that you are unable to move.You may feel the pain over the shoulder blade. It may spread to the upper arm, forearm, or fingers (in rare cases).The pain may get worse:After standing or sittingAt nightWhen you sneeze, cough, or laughWhen you bend the neck backward or twist your neck or walk more than a few yards (meters)You may also have weakness in certain muscles. Sometimes, you may not notice it until your health care provider examines you. In other cases, you will notice that you have a hard time lifting your arm, squeezing tightly with one of your hands, clumsiness of your hand, or other problems.Other common symptoms are:Neck stiffnessthat gets worse over timeNumbness orabnormal sensationsin the shoulders or armsHeadaches, especially in the back of the headPain on the inside of the shoulder blade and shoulder painLess common symptoms are:Loss of balancePain or numbness in the legsLoss of control over the bladder or bowels (if there is pressure on the spinal cord)
Cervicitis;https://medlineplus.gov/ency/article/001495.htm;There may be no symptoms. If symptoms are present, these may include:Abnormal vaginal bleedingthat occurs after intercourse, or between periodsUnusualvaginal dischargethat does not go away: discharge may be gray, white or yellow in colorPainful sexual intercoursePain in the vaginaPressure or heaviness in the pelvisPainful urinationVaginal itchingWomen who may be at risk for chlamydia should be tested for this infection, even if they do not have symptoms.
Cervix;https://medlineplus.gov/ency/article/002317.htm;No symptoms section found.
Cervix cryosurgery;https://medlineplus.gov/ency/article/002917.htm;This procedure may be done to:TreatcervicitisTreatcervical dysplasiaYour provider will help you to decide if cryosurgery is right for your condition.
Chafing;https://medlineplus.gov/ency/article/002034.htm;No symptoms section found.
Chagas disease;https://medlineplus.gov/ency/article/001372.htm;Chagas disease has two phases:acuteandchronic. The acute phase may have no symptoms or very mild symptoms, including:FeverGeneral ill feelingSwelling of an eye if the bite is near the eyeSwollen red area at site of the insect biteAfter the acute phase, the disease goes into remission. No other symptoms may appear for many years. When symptoms finally develop, they may include:ConstipationDigestive problemsHeart failurePain in the abdomenPounding or racing heartSwallowing difficulties
Chalazion;https://medlineplus.gov/ency/article/001006.htm;A chalazion often develops following an internal hordeolum (also called a stye). The eyelid most often becomes tender, red, swollen and warm. Sometimes, the blocked gland causing the stye will not drain even though the redness and swelling go away. The gland will form a firm nodule in the eyelid that is not tender. This is called a chalazion.
Chancroid;https://medlineplus.gov/ency/article/000635.htm;"Within 1 day to 2 weeks after becoming infected, a person will get a small bump on the genitals. The bump becomes anulcerwithin a day after it first appears. The ulcer:Ranges in size from 1/8 inch to 2 inches (3 millimeters to 5 centimeters) in diameterIs painfulIs softHas sharply defined bordersHas a base that is covered with a gray or yellowish-gray materialHas a base that bleeds easily if it is bumped or scrapedAbout one half of infected men have only a single ulcer. Women often have 4 or more ulcers. The ulcers appear in specific locations.Common locations in men are:ForeskinGroove behind the head of the penisShaft of the penisHead of the penisOpening of the penisScrotumIn women, the most common location for ulcers is the outer lips of the vagina (labia majora). ""Kissing ulcers"" may develop. Kissing ulcers are those that occur on opposite surfaces of the labia.Ulcers also may form on the:Inner vagina lips (labia minora)Area between the genitals and the anus (perineal area)Inner thighsThe most common symptoms in women are pain with urination and intercourse.The ulcer may look like the sore ofprimary syphilis(chancre).About one half of the people who are infected with a chancroid develop enlarged lymph nodes in the groin.In one half of people who have swelling of the groin lymph nodes, the nodes break through the skin and cause drainingabscesses. Theswollen lymph nodesand abscesses are also called buboes."
Changes in the newborn at birth;https://medlineplus.gov/ency/article/002395.htm;No symptoms section found.
Changing your ostomy pouch;https://medlineplus.gov/ency/patientinstructions/000204.htm;Your stool may be liquid or solid, depending on the kind of surgery you had. You may need your ostomy for just a short time. Or, you may need it for the rest of your life.The ostomy pouch attaches to your belly, away from your belt line. It will be hidden under your clothing. The stoma is the opening in your skin where the pouch attaches.Usually you can do your normal activities, but you will have to change your diet a bit and watch for skin soreness. The pouches are odor-free, and they do not allow gas or stool to leak out when they are worn correctly.Your nurse will teach you how to care for your ostomy pouch and how to change it. You will need to empty it when it is about 1/3 full, and change it about every 2 to 4 days, or as often as your nurse tells you. After some practice, changing your pouch will get easier.
Changing your sleep habits;https://medlineplus.gov/ency/patientinstructions/000757.htm;People who have insomnia are often worried about getting enough sleep. The more they try to sleep, the more frustrated and upset they get, and the harder it becomes to sleep.While 7 to 8 hours a night is recommended for most people, children and teenagers need more.Older people tend to do fine with less sleep at night. But they may still need about 8 hours of sleep over a 24-hour period.Remember, the quality of sleep and how rested you feel afterward is as important as how much sleep you get.
Changing your urostomy pouch;https://medlineplus.gov/ency/patientinstructions/000478.htm;Most urostomy pouches need to be changed 1 to 2 times a week. It is important to follow a schedule for changing your pouch. Do not wait until it leaks becauseurine leaks can harm your skin.You may need to change your pouch more often:During the summerIf you live in a warm, humid areaIf you have scars or oily skin around your stomaIf you play sports or are very activeAlways change your pouch if there are signs that it is leaking. Signs include:ItchingBurningChanges in the appearance of the stoma or the skin around it
Chapped hands;https://medlineplus.gov/ency/article/002035.htm;No symptoms section found.
Chapped lips;https://medlineplus.gov/ency/article/002036.htm;No symptoms section found.
Charcot foot;https://medlineplus.gov/ency/article/007748.htm;Early foot symptoms may include:Mild pain and discomfortRednessSwellingWarmth in the affected foot (noticeably warmer than the other foot)At later stages, bones in the foot break and move out of place, causing the foot or ankle to become deformed.A classic sign of Charcot is rocker-bottom foot. This occurs when the bones in middle of the foot collapse. This causes the arch of the foot to collapse and bow downward.The toes may curl downward.Bones that stick out at odd angles can lead to pressure sores andfoot ulcers.Because the feet are numb, these sores and ulcers may grow wider or deeper before they are noticed.High blood sugar also makes it hard for the body to fight infection. As a result, these foot ulcers may become infected.
Charcot-Marie-Tooth disease;https://medlineplus.gov/ency/article/000727.htm;"Nerves that stimulate movement (called the motor nerves) are most severely affected. The nerves in the legs are affected first and most severely.Symptoms most often begin between mid-childhood and early adulthood. They may include:Foot deformity (very high arch to feet)Foot drop (inability to point foot upward to hold it horizontal)Loss of lower leg muscle, which leads to skinny calvesNumbness in the foot or leg""Slapping"" gait (feet hit the floor hard when walking)Weaknessof the hips, legs, or feetLater, similar symptoms may appear in the arms and hands. These may include a claw-like hand."
Charley horse;https://medlineplus.gov/ency/article/002066.htm;When a muscle goes into spasm it feels very tight. It is sometimes described as a knot. The pain can be severe.
Chediak-Higashi syndrome;https://medlineplus.gov/ency/article/001312.htm;Children with this condition may have:Silver hair, light-colored eyes (albinism)Increased infections in the lungs, skin, and mucous membranesJerky eye movements (nystagmus)Infection of affected children with certain viruses, such as Epstein-Barr virus (EBV), can cause a life-threatening illness resembling the blood cancerlymphomacalled hemophagocytic lymphohistiocytosis.Other symptoms may include:Decreased visionIntellectual disabilityMuscle weaknessNerve problems in the limbs (peripheral neuropathy)Nosebleeds or easy bruisingNumbnessTremorSeizuresSensitivity to bright light (photophobia)Unsteady walking (ataxia)
Chemical burn or reaction;https://medlineplus.gov/ency/article/000059.htm;Depending on the type of exposure, the symptoms may include:Abdominal painBreathing difficultyBright red orbluish skinand lipsConvulsions (seizures)DizzinessEye pain, burning or wateringHeadacheHives,itching,swelling, orweaknessresulting from anallergic reactionIrritabilityNauseaandÂvomitingPain where the skin has come in contact with the toxic substanceRash,blisters,burnson the skinUnconsciousnessor other states of altered level of consciousness
Chemical dependence - resources;https://medlineplus.gov/ency/article/002169.htm;No symptoms section found.
Chemical pneumonitis;https://medlineplus.gov/ency/article/000143.htm;Acute symptoms may include:Air hunger (feeling that you cannot get enough air)Breathing that soundsÂ wet or gurgling (abnormal lung sounds)CoughDifficulty breathingUnusual sensation (possibly burning feeling) in the chestChronic symptoms may include:Cough (may or may not occur)Progressive disability (related to shortness of breath)Rapid breathing(tachypnea)Shortness of breathwith only mild exercise
Chemosis;https://medlineplus.gov/ency/article/003038.htm;Causes may include:AngioedemaAllergic reactionBacterial infection (conjunctivitis)Viral infection (conjunctivitis)
Chemotherapy;https://medlineplus.gov/ency/article/002324.htm;No symptoms section found.
Chemotherapy - what to ask your doctor;https://medlineplus.gov/ency/patientinstructions/000185.htm;No symptoms section found.
Cherry angioma;https://medlineplus.gov/ency/article/001441.htm;A cherry angioma is:Bright cherry-redSmall -- pinhead size to about one quarter inch (0.5 centimeter) in diameterSmooth, or can stick out from the skin
Chest CT;https://medlineplus.gov/ency/article/003788.htm;Some people have allergies to IV contrast and may need to take medicine before their test to safely receive this substance.If contrast is used, you may also be asked not to eat or drink anything for 4 to 6 hours before the test.If you weigh more than 300 pounds (135 kilograms), have your health care provider contact the scanner operator before the exam. CT scanners have an upper weight limit of 450 pounds (204 kilograms). Some newer scanners can accommodate up to 680 pounds (308 kilograms). Because it is hard for x-rays to pass through metal, you will be asked to remove jewelry.
Chest MRI;https://medlineplus.gov/ency/article/003794.htm;"You may be asked not to eat or drink anything for 4 to 6 hours before the scan.Tell your provider if you are claustrophobic (afraid of closed spaces). You may be given a medicine to help you feel sleepy and less anxious. Your provider may suggest an ""open"" MRI, in which the machine is not as close to your body.Before the test, tell your health care provider if you have:Brain aneurysmclipsArtificial heart valvesHeart defibrillator orpacemakerInner ear (cochlear) implantsKidney disease or are on dialysis (you may not be able to receive contrast)Recently placed artificial jointsVascularstentsWorked with sheet metal in the past (you may need tests to check for metal pieces in your eyes)The MRI contains strong magnets, so metal objects are not allowed into the room with the MRI scanner. This is because there is a risk that they will be drawn from your body toward the scanner. Examples of metal objects you will need to remove are:Pens, pocket knives, and eyeglassesItems such as jewelry, watches, credit cards, and hearing aidsPins, hairpins, and metal zippersRemovable dental workSome of the newer medical devices described above are MRI compatible, so the radiologist needs to check the device manufacturer to determine if an MRI is possible."
Chest pain;https://medlineplus.gov/ency/article/003079.htm;Heart or blood vessel problems that can cause chest pain:Anginaor a heart attack. The most common symptom is chest pain that may feel like tightness, heavy pressure, squeezing, or crushing pain. The pain may spread to the arm, shoulder, jaw, or back.A tear in the wall of the aorta, the large blood vessel that takes blood from the heart to the rest of the body (aortic dissection) causes sudden, severe pain in the chest and upper back.Swelling (inflammation) in the sac that surrounds the heart (pericarditis) causes pain in the center part of the chest.Lung problems that can cause chest pain:A blood clot in the lung (pulmonary embolism).Collapse of the lung (pneumothorax).PneumoniaÂ may cause a sharp chest pain that often gets worse when you take a deep breath or cough.Swelling of the lining around the lung (pleurisy) can cause chest pain that usually feels sharp, and often gets worse when you take a deep breath or cough.Other causes of chest pain:Panic attack, which often occurs with fast breathing.Inflammation where the ribs join the breast bone or sternum (costochondritis).Shingles, which causes sharp, tingling pain on one side that stretches from the chest to the back, and may cause a rash.Strain of the muscles and tendons between the ribs.Chest pain can also be due to the following digestive system problems:Spasms or narrowing of the esophagus (the tube that carries food from the mouth to the stomach)Gallstonescause pain that gets worse after a meal (most often a fatty meal).Heartburn orgastroesophageal reflux(GERD)Stomach ulceror gastritis: Burning pain occurs if your stomach is empty and feels better when you eat foodIn children, most chest pain is not caused by the heart.
Chest radiation - discharge;https://medlineplus.gov/ency/patientinstructions/000057.htm;When you have radiation treatment, color markings are drawn on your skin. Do not remove them. These show where to aim the radiation. If they come off, do not redraw them. Tell your provider instead.To take care of the treatment area:Wash gently with lukewarm water only. Don't scrub.Use a mild soap that doesn't dry out your skin.Pat your skin dry.Don't use lotions, ointments, makeup, perfumed powders, or any other perfumed products on this area. Ask your provider what is OK to use.Keep the area that is being treated out of direct sunlight.Don't scratch or rub your skin.Don't put heating pads or ice bags on the treatment area.Wear loose-fitting clothing.Tell your provider if you have any breaks or openings in your skin.
Chest tube insertion;https://medlineplus.gov/ency/article/002947.htm;Chest tubes are used to treat conditions that cause a lung to collapse. Some of these conditions are:Surgery or trauma in the chestAir leaks from inside the lung into the chest (pneumothorax)Fluid buildup in the chest (called apleural effusion) due to bleeding into the chest, buildup of fatty fluid,abscessor pus buildup in the lung or the chest, orheart failureA tear in the esophagus (the tube that allows food to go from the mouth to the stomach)
Chest x-ray;https://medlineplus.gov/ency/article/003804.htm;Tell the health care provider if you are pregnant. Chest x-rays are generally not done during pregnancy, and special precautions are taken if they are needed.
Chicken soup and sickness;https://medlineplus.gov/ency/article/002067.htm;No symptoms section found.
Chickenpox;https://medlineplus.gov/ency/article/001592.htm;Most children with chickenpox have the following symptoms before the rash appears:FeverHeadacheStomach acheThe chickenpox rash occurs about 10 to 21 days after coming into contact with someone who had the disease. In most cases, a child will develop 250 to 500 small, itchy, fluid-filled blisters over red spots on the skin.The blisters are most often first seen on the face, middle of the body, or scalp.After a day or two, the blisters become cloudy and then scab. Meanwhile, new blisters form in groups. They often appear in the mouth, in the vagina, and on the eyelids.Children with skin problems, such as eczema, may get thousands of blisters.Most pox will not leave scars unless they become infected with bacteria that is made more likely by scratching.Some children who have had the vaccine will still develop a mild case of chickenpox. In most cases, they recover much more quickly and have only a few poxes (fewer than 30). These cases are often harder to diagnose. However, these children can still spread chickenpox to others.
Chiggers;https://medlineplus.gov/ency/article/001333.htm;The main symptoms of chigger bites are:Severe itchingRed pimple-like bumps orhivesItching usually occurs several hours after the chiggers attach to the skin. The bite is painless.Askin rashmay appear on the parts of the body that were exposed to the sun. It may stop where the underwear meets the legs. This is often a clue that the rash is due to chigger bites.
Chikungunya virus;https://medlineplus.gov/ency/patientinstructions/000821.htm;Symptoms develop 3 to 7 days after being bitten by an infected mosquito. The disease is easily spread. Most people who become infected have symptoms.The most common symptoms are fever and joint pain. Other symptoms include:HeadacheJoint swellingMuscle painNauseaRashSymptoms are similar to the flu and can be severe, but usually not deadly. Most people recover in a week. Some have joint pain for months or longer. The disease can lead to death in frail older adults.
Child neglect and emotional abuse;https://medlineplus.gov/ency/article/007225.htm;WHAT YOU CAN DO TO HELPIf you think a child is in immediate danger because of abuse or neglect, call 911 or the local emergency number.Call the Childhelp National Child Abuse Hotline at 1-800-4-A-CHILD (1-800-422-4453). Crisis counselors are available 24 hours a day, 7 days a week. Interpreters are available to help in more than 170 languages. The counselor on the phone can help you determine what steps to take next. All calls are anonymous and confidential.Counseling and support groupsare available for children and for abusive parents who want to get help.
Child physical abuse;https://medlineplus.gov/ency/article/001552.htm;Signs of physical abuse in a child include:Sudden change in behavior or school performanceAlertness, watching for something bad to happenActing out behaviorLeaving home early, going home late, and not wanting to go homeFear when approached by adultsOther signs include unexplained injuries or a strange explanation of injuries, such as:Black eyesBroken bones that cannot be explained (for example, infants whoÂ do notÂ crawl or walk usually do not get broken bones)Bruise marks shaped like hands, fingers, or objects (such as a belt)Bruises that cannot be explained by usual child activitiesBulging fontanelle(soft spot) orseparated suturesin an infant's skullBurn marks,Â such asÂ cigarette burnsChoke marks around the neckCircular marks around the wrists or ankles from twisting or being tied upHuman bite marksLash marksUnexplained unconsciousness in an infantWarning signs that an adult may be abusing a child:Cannot explain or gives strange explanations for a child's injuriesTalks about the child in a negative wayUses harsh disciplineWas abused as a childAlcohol or drug problemsEmotional problems or mental illnessHigh stressDoes not look after the child's hygiene or careDoes not seem to love or have concern for the child
Child safety seats;https://medlineplus.gov/ency/patientinstructions/000670.htm;No symptoms section found.
Children and grief;https://medlineplus.gov/ency/patientinstructions/000749.htm;It helps to understand how children think before talking to them about death. This is because you must speak to them on the subject at their own level.Infants and toddlers will be aware that people are sad. But they won't have any real understanding of death.Preschool children think death is temporary and reversible. They may see death as simply a separation.Children over 5 years old are beginning to understand that death lasts forever. But they think death is something that happens to others, not to themselves or their own families.Teens understand that death is a stop of body functions and is permanent.
Children's cancer centers;https://medlineplus.gov/ency/patientinstructions/000841.htm;To locate a children's cancer center:Your health care provider can help you find centers in your area.The American Childhood Cancer Organization has a directory that lists treatment centers by state. It also has links to those centers' websites. The website is atwww.acco.org/.The Children's Oncology Group (COG) website can help you find cancer centers anywhere in the world. The site is atwww.childrensoncologygroup.org/index.php/locations/.
Chills;https://medlineplus.gov/ency/article/003091.htm;Causes may include:Exposure to a cold environmentViral and bacterial infections
Chin augmentation;https://medlineplus.gov/ency/article/002986.htm;Chin augmentation is mostly done to balance the appearance of the face by making the chin longer or bigger compared to the nose. The best candidates for chin augmentation are people with small or receding chins (microgenia), but who have a normal bite.Talk with a plastic surgeon if you are considering chin augmentation. Keep in mind that the desired result is improvement, not perfection.
Chiropractic care for back pain;https://medlineplus.gov/ency/patientinstructions/000416.htm;"The first visit most often lasts 30 to 60 minutes. Your chiropractor will ask about your goals for treatment and your health history. You will be asked about your:Past injuries and illnessesCurrent health problemsAny medicines you are takingLifestyleDietSleep habitsExerciseMental stresses you might haveUse of alcohol, drugs, or tobaccoTell your chiropractor about any physical problems you may have that make it hard for you to do certain things. Also tell your chiropractor if you have any numbness, tingling, weakness, or any other nerve problems.After asking you about your health, your chiropractor will do a physical exam. This will include testing your spinal mobility (how well your spine moves). Your chiropractor may also do some tests, such as checking your blood pressure and taking x-rays. These tests look for problems that might be adding to your back pain.Treatment begins at the first or second visit in most cases.You may be asked to lie on a special table, where the chiropractor does the spinal manipulations.The most common treatment is manipulation done by hand. It involves moving a joint in your spine to the end of its range, followed by a light thrust. This is often called an ""adjustment."" It realigns the bones of your spine to place them in a better position.The chiropractor may also do other treatments, like massage and other work on soft tissues.Some people are a little achy, stiff, and tired for a few days after their manipulations. This is because their bodies are adjusting to their new alignment. You should not feel any pain from the manipulation."
Chiropractor profession;https://medlineplus.gov/ency/article/002001.htm;No symptoms section found.
