illness;symptoms
disorder;['agitation', 'anxiety', 'bloat', 'chest pain', 'chill', 'choking', 'confusion', 'delusion', 'depression', 'diarrhea', 'difficulty swallowing', 'difficulty walking', 'double vision', 'faint', 'fatigue', 'feeling faint', 'hallucination', 'hot flashes', 'hyperactivity', 'inflammation', 'irritability', 'itch', 'loss appetite', 'loss balance', 'loss sensation', 'low energy', 'mood swings', 'muscle pain', 'nausea', 'numbness', 'palpitation', 'paranoia', 'perspiration', 'prickling', 'rash', 'restlessness', 'seizure', 'sensitivity light', 'shortness breath', 'slowness', 'slurred speech', 'spasm', 'tremor', 'vertigo', 'vomiting', 'weakness', 'weight gain', 'weight loss', 'worry']
disorders;['bruise', 'difficulty falling asleep', 'difficulty swallowing', 'difficulty walking', 'double vision', 'earache', 'fatigue', 'fever', 'gruffness', 'hearing loss', 'heavy menstrual bleeding', 'jaw pain', 'joint pain', 'loss balance', 'memory loss', 'nausea', 'numbness', 'perspiration', 'prickling', 'rash', 'slurred speech', 'unsteady gait', 'vertigo', 'vomiting', 'weakness', 'worry']
dissection;['anxiety', 'chest pain', 'faint', 'inflammation', 'nausea', 'pale skin', 'perspiration', 'shortness breath', 'swelling', 'vertigo', 'vomiting']
disseminated;['abdominal pain', 'blood clots', 'bruise', 'chill', 'confusion', 'cough', 'fatigue', 'fever', 'joint pain', 'memory loss', 'pale skin', 'perspiration', 'shortness breath', 'swelling', 'swollen glands', 'weight loss']
diverticulitis;['nausea', 'fever', 'diarrhea', 'constipation', 'bloat', 'chill', 'vomiting']
diverticulosis;['bloat', 'constipation', 'diarrhea']
diverticulum;['nausea', 'vomiting']
divisum;['abdominal pain', 'nausea', 'swelling', 'vomiting']
dizziness;['chest pain', 'diarrhea', 'fever', 'hearing loss', 'loss balance', 'low blood sugar', 'nausea', 'seizure', 'tinnitus', 'vertigo', 'vomiting']
dolens;['swelling']
dorsalis;['loss coordination', 'weakness']
drooling;['heartburn', 'nausea', 'salivate']
drooping;['dry eyes', 'inflammation']
drowning;['seizure']
drowsiness;['hypothyroidism', 'insomnia']
druginduced;['abdominal pain', 'bruise', 'chest pain', 'cough', 'dark urine', 'diarrhea', 'fatigue', 'fever', 'jaundice', 'joint pain', 'loss appetite', 'nausea', 'pale skin', 'rash', 'sharp pain', 'shortness breath', 'swelling', 'vomiting', 'wheeze', 'worry']
dubinjohnson;['jaundice']
duchenne;['difficulty walking', 'fatigue', 'shortness breath', 'swelling', 'weakness']
duodenal;['swelling', 'vomiting']
dupuytren;['itch']
dysautonomia;['constipation', 'diarrhea', 'dry eyes', 'faint', 'fever', 'high blood pressure', 'perspiration', 'seizure', 'vomiting']
dysbetalipoproteinemia;['chest pain', 'loss balance', 'weakness']
dysfunction;['burning sensation', 'constipation', 'fatigue', 'feeling cold', 'hypothyroidism', 'loss coordination', 'numbness', 'prickling', 'spasm', 'weakness', 'weight gain', 'weight loss', 'worry']
dyskinesia;['restlessness']
dysostosis;['hearing loss']
dysphoric;['anxiety', 'bloat', 'fatigue', 'irritability', 'low energy', 'mood swings', 'muscle pain', 'worry']
dysplasia;['cough', 'rapid breathing', 'shortness breath']
dysplasias;['fever']
dysreflexia;['anxiety', 'blurry vision', 'faint', 'fever', 'high blood pressure', 'irregular heartbeat', 'nasal congestion', 'perspiration', 'pilomotor reflex', 'spasm', 'vertigo', 'worry']
dystrophies;['back pain', 'palpitation', 'weakness']
ebola;['diarrhea', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'muscle pain', 'rash', 'red eyes', 'sore throat', 'vomiting', 'weakness', 'worry']
ebstein;['cough', 'fatigue', 'rapid breathing', 'shortness breath']
echinococcosis;['chest pain', 'cough', 'swelling']
eclampsia;['agitation', 'blurred vision', 'confusion', 'double vision', 'nausea', 'seizure', 'swelling', 'vomiting', 'worry']
ectodermal;['fever']
ectopic;['anxiety', 'bruise', 'depression', 'faint', 'fatigue', 'feeling faint', 'high blood pressure', 'low blood pressure', 'palpitation', 'weight gain', 'worry']
ectropion;['inflammation', 'watery eyes', 'dry eyes', 'burning sensation']
effusion;['chest pain', 'chill', 'cough', 'fever', 'hearing loss', 'low energy', 'persistent fever', 'rapid breathing', 'seizure', 'sharp pain', 'shortness breath', 'vomiting', 'weakness']
ehlersdanlos;['back pain', 'joint pain']
ehrlichiosis;['chill', 'diarrhea', 'fever', 'nausea', 'rash', 'worry']
eisenmenger;['bluish lips', 'chest pain', 'cough', 'faint', 'numbness', 'palpitation', 'prickling', 'shortness breath', 'swelling', 'vertigo']
elliptocytosis;['fatigue', 'jaundice', 'shortness breath']
embolism;['numbness', 'prickling', 'weakness']
embolization;['constipation', 'fever', 'pelvic pain']
emphysema;['cough', 'vomiting']
empyema;['chest pain', 'chill', 'cough', 'excessive sweating', 'fever', 'night sweats', 'perspiration', 'shortness breath', 'weight loss']
encephalitis;['confusion', 'fever', 'irritability', 'low energy', 'memory loss', 'seizure', 'slowness', 'stiffness', 'unsteady gait', 'vomiting', 'weakness', 'worry']
encephalomyelitischronic;['chill', 'fatigue', 'forgetfulness', 'inflammation', 'irritable bowel syndrome', 'joint pain', 'night sweats', 'rash', 'sensitivity noise', 'sore throat', 'swelling', 'weakness', 'worry']
encephalopathy;['irritability', 'jaundice', 'seizure']
encopresis;['bloat', 'constipation', 'incontinence', 'loss appetite']
endocardial;['pale skin', 'perspiration', 'rapid breathing']
endocarditis;['chill', 'fatigue', 'fever', 'inflammation', 'joint pain', 'loss appetite', 'muscle pain', 'perspiration', 'seizure', 'shortness breath', 'swelling', 'weakness', 'weight loss']
endocrine;['abdominal pain', 'anxiety', 'confusion', 'fatigue', 'loss appetite', 'muscle pain', 'nausea', 'vomiting', 'weakness', 'weight loss', 'worry']
endometrial;['abdominal pain', 'heavy menstrual bleeding', 'irregular periods']
endometriosis;['back pain', 'heavy menstrual bleeding', 'hot flashes', 'painful periods']
endometritis;['constipation', 'fever', 'swelling']
endophthalmitis;['inflammation', 'swelling']
enteritis;['abdominal pain', 'diarrhea', 'fever', 'loss appetite', 'nausea', 'pale skin', 'vomiting', 'weight loss']
enterocolitis;['abdominal bloating', 'abdominal pain', 'bloat', 'chill', 'diarrhea', 'fever', 'muscle pain', 'nausea', 'vomiting']
enteropathy;['abdominal pain', 'diarrhea', 'fever', 'swelling']
entropion;['inflammation']
eosinophilia;['chest pain', 'cough', 'fever', 'rash', 'shortness breath', 'wheeze']
eosinophilic;['abdominal pain', 'chest pain', 'dysphagia', 'heartburn', 'muscle pain', 'swelling', 'vomiting', 'weight gain', 'weight loss']
epicondylitis;['elbow pain', 'numbness', 'prickling']
epidermoid;['inflammation']
epidermolysis;['breathing problems', 'cough', 'hair loss']
epididymitis;['chill', 'fever', 'swelling']
epidural;['back pain', 'confusion', 'fever', 'incontinence', 'loss sensation', 'nausea', 'seizure', 'vertigo', 'vomiting', 'weakness', 'worry']
epiglottitis;['difficulty swallowing', 'fever', 'gruffness', 'salivate', 'sore throat']
epilepsy;['anxiety', 'prickling', 'seizure']
epiphysis;['difficulty walking', 'knee pain', 'stiffness']
episcleritis;['eye pain', 'sensitivity light']
epispadias;['incontinence']
erysipelas;['chill', 'fever']
erysipeloid;['burning sensation', 'fever', 'itch', 'swelling', 'swollen lymph nodes', 'throbbing pain']
erythema;['cough', 'dry eyes', 'eye pain', 'fever', 'inflammation', 'itch', 'rash', 'runny nose', 'skin lesions', 'sore throat', 'swelling', 'urtication', 'worry']
erythematosus;['abdominal pain', 'chest pain', 'cough', 'fatigue', 'fever', 'hair loss', 'joint pain', 'loss appetite', 'nausea', 'numbness', 'prickling', 'rash', 'seizure', 'sharp pain', 'swelling', 'swollen lymph nodes', 'vomiting', 'weakness', 'weight loss', 'worry']
erythroderma;['inflammation', 'swelling']
erythroplasia;['rash']
esophageal;['breathing problems', 'chest pain', 'choking', 'cough', 'difficulty swallowing', 'heartburn', 'salivate', 'vertigo', 'vomiting', 'weight loss']
esophagitis;['abdominal pain', 'chest pain', 'chill', 'cough', 'difficulty swallowing', 'dysphagia', 'fever', 'gruffness', 'heartburn', 'painful swallowing', 'sore throat', 'vomiting', 'weight gain', 'weight loss']
ethmoiditis;['double vision', 'inflammation', 'nasal congestion', 'runny nose', 'worry']
ewing;['fever', 'swelling']
facioscapulohumeral;['chronic pain', 'hearing loss', 'weakness']
factitious;['hyperthyroidism']
failure;['breathing problems', 'bruise', 'chest pain', 'constipation', 'cough', 'diarrhea', 'fatigue', 'high blood pressure', 'hot flashes', 'irritability', 'loss appetite', 'low energy', 'metallic taste', 'mood swings', 'nausea', 'night sweats', 'palpitation', 'rapid breathing', 'seizure', 'shortness breath', 'swelling', 'swollen feet', 'vertigo', 'vomiting', 'weakness', 'weight gain', 'worry']
fainting;['anxiety', 'cough', 'depression', 'faint', 'high blood pressure', 'hypoglycemia', 'low blood sugar', 'seizure']
fanconi;['excessive thirst', 'fatigue', 'weakness']
farsightedness;['blurred vision', 'worry']
fasciitis;['muscle pain', 'stiffness', 'swelling']
fatigue;['chill', 'chronic fatigue', 'chronic fatigue syndrome', 'depression', 'fatigue', 'forgetfulness', 'inflammation', 'insomnia', 'irritable bowel syndrome', 'joint pain', 'night sweats', 'rash', 'sensitivity noise', 'sore throat', 'swelling', 'weakness', 'worry']
febrile;['confusion']
felty;['fatigue', 'loss appetite', 'stiffness', 'swelling', 'weakness', 'weight loss']
femoral;['abdominal pain', 'difficulty walking', 'knee pain', 'nausea', 'numbness', 'prickling', 'stiffness', 'vomiting', 'weakness']
fetalis;['breathing problems', 'bruise', 'jaundice', 'swelling']
fever;['abdominal pain', 'agitation', 'blood clots', 'chest pain', 'chill', 'confusion', 'cough', 'diarrhea', 'fatigue', 'fever', 'hallucination', 'inflammation', 'jaundice', 'joint pain', 'loss appetite', 'muscle pain', 'nausea', 'night sweats', 'perspiration', 'rapid breathing', 'rash', 'seizure', 'sensitivity light', 'shortness breath', 'skin lesions', 'sore throat', 'stiffness', 'swelling', 'swollen lymph nodes', 'vomiting', 'weakness', 'weight loss', 'worry']
fibrillation;['anxiety', 'bruise', 'chest pain', 'confusion', 'faint', 'fatigue', 'irregular heartbeat', 'nausea', 'palpitation', 'perspiration', 'shortness breath', 'vertigo', 'weakness']
fibrinogen;['bruise']
fibrocystic;['irregular periods']
fibroids;['blood clots', 'constipation', 'diarrhea', 'hot flashes', 'painful periods']
fibromyalgia;['anxiety', 'chronic pain', 'fatigue', 'irritable bowel syndrome', 'numbness', 'prickling', 'stiffness', 'worry']
fibrosis;['abdominal pain', 'bloat', 'chest pain', 'constipation', 'cough', 'delayed growth', 'fatigue', 'feeling faint', 'fever', 'loss appetite', 'nasal congestion', 'nausea', 'shortness breath', 'swelling', 'vomiting', 'weight loss']
fifth;['fever', 'joint pain', 'rash', 'runny nose', 'swelling', 'worry']
fistula;['choking', 'diarrhea', 'fatigue', 'irregular heartbeat', 'palpitation', 'shortness breath']
flaccid;['difficulty swallowing', 'fever', 'loss reflexes', 'slurred speech', 'stiffness', 'weakness']
flu;['eye pain', 'muscle pain', 'nausea', 'fever', 'diarrhea', 'sore throat', 'cough', 'stuffy nose', 'breathing problems', 'chill', 'perspiration', 'stiffness', 'worry', 'sneeze', 'weight loss', 'abdominal pain', 'runny nose', 'vomiting', 'weakness']
folate;['diarrhea', 'fatigue', 'irritability']
folatedeficiency;['fatigue', 'weakness', 'worry']
folliculitis;['fever', 'itch', 'rash', 'swollen lymph nodes']
friedreich;['hearing loss', 'loss coordination', 'unsteady gait', 'weakness']
frontotemporal;['difficulty speaking', 'incontinence', 'memory loss', 'weakness']
frostbite;['numbness', 'cold skin', 'prickling', 'stiffness', 'hypothermia', 'muscle stiffness', 'swelling']
fructose;['irritability', 'jaundice', 'vomiting']
fuchs;['blurred vision', 'eye pain', 'sensitivity light']
galactosemia;['irritability', 'jaundice', 'vomiting', 'weight gain']
gallbladder;['bloat', 'bruise', 'diarrhea', 'heartburn', 'indigestion', 'inflammation', 'nausea', 'sore throat', 'vomiting']
gallstones;['fever', 'jaundice', 'nausea', 'vomiting']
ganglioneuroma;['abdominal pain', 'bloat', 'chest pain', 'diarrhea', 'high blood pressure', 'perspiration']
gangrene;['confusion', 'fever', 'hypotension', 'jaundice', 'low blood pressure', 'pale skin', 'perspiration', 'swelling']
gastritis;['loss appetite', 'nausea', 'indigestion', 'vomiting']
gastroenteritis;['muscle pain', 'nausea', 'weight loss', 'fever', 'diarrhea', 'abdominal pain', 'chill', 'loss appetite', 'perspiration', 'stiffness', 'vomiting']
gastroenteritiscolitis;['abdominal pain', 'diarrhea', 'difficulty swallowing', 'fever', 'nausea', 'vomiting', 'weight loss']
gastroesophageal;['breathing problems', 'chest pain', 'choking', 'constipation', 'cough', 'diarrhea', 'difficulty swallowing', 'gruffness', 'heartburn', 'nausea', 'nausea after eating', 'sore throat', 'vomiting', 'weight loss', 'wheeze']
gastroparesis;['abdominal pain', 'hypoglycemia', 'nausea', 'vomiting', 'weight loss']
gaucher;['bruise', 'fatigue', 'seizure', 'swelling']
gianotticrosti;['rash', 'swollen lymph nodes']
giant;['blurred vision', 'double vision', 'fever', 'inflammation', 'jaw pain', 'stiffness', 'weakness', 'worry']
giardia;['bloat', 'diarrhea', 'fever', 'loss appetite', 'nausea', 'weight loss', 'worry']
gierke;['bruise', 'fatigue', 'irritability']
gigantism;['double vision', 'irregular periods', 'joint pain', 'perspiration', 'weakness', 'worry']
gilbert;['fatigue', 'jaundice']
gingivitis;['bad breath', 'bleeding gums']
gingivostomatitis;['bad breath', 'fever']
glanzmann;['bleeding gums', 'bruise', 'heavy menstrual bleeding']
glaucoma;['nausea', 'red eyes', 'sensitivity light', 'vomiting']
glioma;['memory loss', 'double vision', 'delayed growth', 'nausea', 'seizure', 'irritability', 'blurred vision', 'confusion', 'vomiting', 'worry']
glomerulonephritis;['dark urine', 'nausea', 'abdominal pain', 'diarrhea', 'fatigue', 'fever', 'cough', 'joint pain', 'high blood pressure', 'loss appetite', 'stiffness', 'vomiting', 'fluid retention', 'shortness breath', 'swelling']
glomerulosclerosis;['swelling', 'weight gain']
glomus;['difficulty swallowing', 'dysphagia', 'gruffness', 'tinnitus', 'vertigo', 'weakness']
glossopharyngeal;['cough', 'sneeze']
glucagonoma;['diarrhea', 'excessive thirst', 'frequent urination', 'rash', 'weight loss']
gonococcal;['fever', 'joint pain', 'rash']
gonorrhea;['fever', 'rash', 'sore throat', 'vaginal discharge']
gout;['fever', 'joint pain', 'swelling']
graftversushost;['abdominal pain', 'burning sensation', 'chest pain', 'chronic pain', 'diarrhea', 'dry eyes', 'dry mouth', 'fatigue', 'inflammation', 'itch', 'jaundice', 'joint pain', 'nausea', 'rash', 'shortness breath', 'stiffness', 'vomiting', 'weakness', 'weight loss']
granuloma;['rash']
granulomatosis;['abdominal pain', 'chest pain', 'cough', 'fatigue', 'fever', 'joint pain', 'loss appetite', 'night sweats', 'shortness breath', 'swelling', 'weakness', 'weight loss']
graves;['anxiety', 'chest pain', 'double vision', 'fatigue', 'hair loss', 'heat intolerance', 'irregular heartbeat', 'irritability', 'memory loss', 'palpitation', 'perspiration', 'shortness breath', 'tremor', 'weakness', 'weight loss']
gravidarum;['constipation', 'dark urine', 'dry skin', 'faint', 'nausea', 'vertigo', 'vomiting', 'weakness', 'weight loss']
gravis;['choking', 'double vision', 'fatigue', 'gruffness', 'salivate', 'weakness']
guillainbarre;['blurred vision', 'difficulty swallowing', 'double vision', 'faint', 'loss sensation', 'low blood pressure', 'numbness', 'palpitation', 'prickling', 'salivate', 'slowness', 'weakness']
guttate;['itch']
handfootmouth;['fever', 'loss appetite', 'rash', 'sore throat', 'worry']
hantavirus;['chill', 'cough', 'fever', 'nausea', 'shortness breath', 'vomiting', 'worry']
hartnup;['diarrhea', 'rash', 'sensitivity light']
hashimoto;['constipation', 'difficulty concentrating', 'dry skin', 'fatigue', 'hair loss', 'weight gain']
hellp;['blurry vision', 'fatigue', 'fluid retention', 'nausea', 'seizure', 'vomiting', 'weight gain', 'worry']
hematoma;['confusion', 'fever', 'irritability', 'nasal congestion', 'nausea', 'numbness', 'seizure', 'swelling', 'vertigo', 'vomiting', 'weakness', 'worry']
hemochromatosis;['abdominal pain', 'fatigue', 'joint pain', 'weakness', 'weight loss']
hemoglobin;['jaundice']
hemolytic;['abdominal pain', 'back pain', 'blush', 'chill', 'dark urine', 'faint', 'fatigue', 'fever', 'jaundice', 'pale skin', 'shortness breath', 'swelling', 'vertigo', 'worry']
hemolyticuremic;['bruise', 'diarrhea', 'fever', 'irritability', 'rash', 'seizure', 'vomiting', 'weakness']
hemophilia;['bruise', 'swelling']
hemorrhage;['confusion', 'double vision', 'irritability', 'nausea', 'neck pain', 'numbness', 'seizure', 'shoulder pain', 'vomiting', 'worry']
hemorrhagic;['seizure', 'shortness breath']
hemorrhoid;['constipation']
hemorrhoids;['itch']
hemothorax;['anxiety', 'chest pain', 'low blood pressure', 'restlessness', 'shortness breath']
henochschonlein;['abdominal pain', 'diarrhea', 'joint pain', 'nausea', 'swelling', 'urtication', 'vomiting', 'worry']
hepatic;['abdominal pain', 'blood clots', 'jaundice', 'loss appetite', 'swelling', 'vomiting']
hepatitis;['abdominal pain', 'bloat', 'dark urine', 'depression', 'fatigue', 'fever', 'inflammation', 'itch', 'jaundice', 'joint pain', 'loss appetite', 'nausea', 'pale stool', 'swelling', 'vomiting', 'weight loss']
hepatocellular;['abdominal pain', 'bruise', 'jaundice', 'weight loss']
hepatocerebral;['difficulty walking', 'itch', 'jaundice']
hepatorenal;['confusion', 'jaundice', 'nausea', 'swelling', 'vomiting', 'weight gain']
hernia;['abdominal pain', 'breathing problems', 'bruise', 'chest pain', 'cough', 'heartburn', 'nausea', 'rapid breathing', 'stiffness', 'swelling', 'vomiting']
herniated;['cough', 'numbness', 'sharp pain', 'sneeze', 'weakness']
herniation;['high blood pressure', 'weakness', 'worry']
herpangina;['fever', 'loss appetite', 'painful swallowing', 'sore throat', 'worry']
herpes;['fatigue', 'fever', 'hypothermia', 'itch', 'painful swallowing', 'prickling', 'rapid breathing', 'rash', 'seizure', 'skin lesions', 'sore throat', 'swollen glands', 'vaginal discharge', 'weakness']
herpetic;['difficulty swallowing', 'fever', 'irritability', 'salivate']
herpetiformis;['rash']
hiatal;['chest pain', 'heartburn']
hirschsprung;['constipation', 'diarrhea', 'jaundice', 'vomiting', 'weight gain']
histiocytosis;['abdominal pain', 'chest pain', 'cough', 'fever', 'frequent urination', 'irritability', 'jaundice', 'rash', 'seizure', 'shortness breath', 'vertigo', 'vomiting', 'weight loss', 'worry']
histoplasmosis;['chest pain', 'chill', 'cough', 'fever', 'joint pain', 'perspiration', 'rash', 'shortness breath', 'stiffness', 'swelling', 'worry']
histrionic;['inflammation']
hivaids;['abdominal pain', 'cough', 'diarrhea', 'fever', 'muscle pain', 'night sweats', 'rash', 'shortness breath', 'sore throat', 'vomiting', 'weight loss', 'worry']
hives;['itch', 'swelling', 'urtication', 'wale']
hoarseness;['cough', 'gruffness', 'swelling']
hodgkin;['blush', 'breathing problems', 'chest pain', 'chill', 'cough', 'excessive sweating', 'fever', 'itch', 'loss appetite', 'night sweats', 'perspiration', 'swelling', 'swollen glands', 'swollen lymph nodes', 'weight loss']
hookworm;['cough', 'diarrhea', 'fatigue', 'fever', 'loss appetite', 'nausea', 'pale skin', 'rash', 'vomiting']
horner;['double vision', 'ear pain', 'gruffness', 'hearing loss', 'nausea', 'numbness', 'perspiration', 'vertigo', 'vomiting', 'weakness']
huntington;['anxiety', 'confusion', 'difficulty swallowing', 'hallucination', 'irritability', 'paranoia', 'restlessness', 'uncontrolled movements', 'unsteady gait']
hydatidiform;['heat intolerance', 'high blood pressure', 'hyperthyroidism', 'nausea', 'restlessness', 'swelling', 'vomiting', 'weight loss']
hydrocephalus;['forgetfulness', 'incontinence', 'irritability', 'loss coordination', 'seizure', 'vomiting', 'worry']
hydronephrosis;['back pain', 'fever', 'incontinence', 'nausea', 'painful urination', 'urinary urgency', 'vomiting']
hydrops;['breathing problems', 'bruise', 'jaundice', 'swelling']
hymenolepis;['diarrhea', 'weakness']
hyperactivity;['hyperactivity', 'hyperthyroidism']
hyperaldosteronism;['high blood pressure', 'numbness', 'weakness', 'worry']
hyperbilirubinemia;['jaundice', 'seizure']
hypercalcemia;['constipation', 'fatigue', 'frequent urination', 'increased thirst', 'nausea', 'vomiting', 'weakness']
hypercholesterolemia;['chest pain', 'loss balance', 'weakness']
hyperemesis;['constipation', 'dark urine', 'dry skin', 'faint', 'nausea', 'vertigo', 'vomiting', 'weakness', 'weight loss']
hyperglycemic;['confusion', 'dry mouth', 'fever', 'increased thirst', 'nausea', 'seizure', 'weight loss']
hyperhidrosis;['perspiration']
hyperkalemic;['weakness']
hyperlipidemia;['chest pain', 'loss balance', 'weakness']
hyperosmolar;['confusion', 'dry mouth', 'fever', 'increased thirst', 'nausea', 'seizure', 'weight loss']
hyperparathyroidism;['depression', 'forgetfulness', 'loss appetite', 'nausea']
hyperplasia;['diarrhea', 'vomiting', 'weight loss']
hypersensitivity;['chill', 'cough', 'fever', 'loss appetite', 'rash', 'shortness breath', 'urtication', 'weight loss']
hypersomnia;['anxiety', 'loss appetite', 'low energy', 'restlessness']
hyperstimulation;['abdominal bloating', 'bloat', 'blood clots', 'diarrhea', 'nausea', 'shortness breath', 'swelling', 'vomiting', 'weight gain']
hypertension;['neck pain', 'nausea', 'numbness', 'cough', 'anxiety', 'confusion', 'vertigo', 'restlessness', 'worry', 'sharp pain', 'double vision', 'seizure', 'fatigue', 'tinnitus', 'high blood pressure', 'blurred vision', 'back pain', 'vomiting', 'chest pain', 'shortness breath', 'weakness']
hypertensive;['high blood pressure']
hyperthermia;['hyperthermia', 'stiffness']
hyperthyroidism;['nausea', 'diarrhea', 'mood swings', 'anxiety', 'perspiration', 'feeling faint', 'weight gain', 'restlessness', 'hair loss', 'rash', 'weight loss', 'fatigue', 'heat intolerance', 'high blood pressure', 'irritability', 'palpitation', 'difficulty concentrating', 'hyperthyroidism', 'vomiting', 'blush', 'weakness']
hypertrophic;['chest pain', 'faint', 'fatigue', 'palpitation', 'shortness breath', 'vertigo']
hyperventilation;['anxiety']
hypervitaminosis;['blurred vision', 'confusion', 'constipation', 'double vision', 'excessive thirst', 'fatigue', 'frequent urination', 'hair loss', 'high blood pressure', 'irritability', 'itch', 'nausea', 'swelling', 'vertigo', 'vomiting', 'weakness', 'weight gain', 'worry']
hyphema;['eye pain']
hypogonadism;['hot flashes', 'hypothyroidism', 'weight gain', 'worry']
hypogonadotropic;['weight gain']
hypokalemic;['weakness']
hypomelanosis;['seizure']
hypoparathyroidism;['abdominal pain', 'prickling', 'seizure', 'spasm']
hypophosphatemia;['confusion', 'seizure', 'weakness']
hypopituitarism;['frequent urination night', 'nausea', 'constipation', 'erectile dysfunction', 'gruffness', 'low blood pressure', 'hot flashes', 'confusion', 'stiffness', 'low blood sugar', 'weight gain', 'vertigo', 'worry', 'hair loss', 'hypothyroidism', 'swelling', 'dry skin', 'weight loss', 'abdominal pain', 'fatigue', 'faint', 'frequent urination', 'sensitivity cold', 'electrolyte imbalance', 'vomiting', 'weakness']
hypoplastic;['cold hands and feet', 'rapid breathing', 'shortness breath']
hypospadias;['spasm']
hypothalamic;['constipation', 'fatigue', 'feeling cold', 'hyperactivity', 'hypothyroidism', 'seizure', 'weakness', 'weight gain', 'weight loss', 'worry']
hypothermia;['hypothermia']
hypothyroidism;['depression', 'muscle pain', 'constipation', 'mood swings', 'gruffness', 'cold hands and feet', 'stiffness', 'weight gain', 'hypothyroidism', 'vertigo', 'feeling cold', 'swelling', 'choking', 'dry skin', 'fatigue', 'irritability', 'jaundice', 'weakness']
hypotonia;['hypothyroidism']
hypoventilation;['daytime sleepiness', 'depression', 'fatigue', 'inflammation', 'shortness breath', 'swelling', 'worry']
hypovolemic;['agitation', 'anxiety', 'confusion', 'pale skin', 'perspiration', 'rapid breathing', 'weakness']
impairment;['weakness']
impetigo;['rash', 'fever', 'swollen lymph nodes', 'itch']
incontinence;['constipation', 'cough', 'diarrhea', 'incontinence', 'rash', 'skin rashes', 'spasm']
infarction;['diarrhea', 'fever', 'vomiting']
infection;['abdominal pain', 'bloat', 'chest pain', 'chill', 'confusion', 'cough', 'diarrhea', 'ear pain', 'fatigue', 'fever', 'gruffness', 'hearing loss', 'incontinence', 'inflammation', 'itch', 'jaw pain', 'loss appetite', 'nasal congestion', 'nausea', 'night sweats', 'painful urination', 'pale skin', 'perspiration', 'rash', 'seizure', 'sore throat', 'swelling', 'swollen lymph nodes', 'urinary urgency', 'vaginal discharge', 'vertigo', 'vomiting', 'weakness', 'weight loss', 'worry']
infections;['dry mouth', 'fever', 'inflammation', 'itch', 'painful urination', 'sensitivity light', 'swelling', 'vaginal discharge', 'watery eyes']
infectious;['chill', 'difficulty swallowing', 'fever', 'hearing loss', 'painful swallowing']
inflammation;['abdominal pain', 'back pain']
inflammatory;['fatigue', 'gruffness', 'numbness', 'prickling', 'slurred speech', 'weakness']
influenza;['cough', 'diarrhea', 'fever', 'runny nose', 'sore throat', 'worry']
influenzae;['agitation', 'chill', 'fever', 'irritability', 'nausea', 'rapid breathing', 'sensitivity light', 'vomiting', 'worry']
insipidus;['confusion', 'dry skin', 'excessive thirst', 'fatigue', 'irritability', 'muscle pain', 'weight loss', 'worry']
insomnia;['insomnia']
insufficiency;['chest pain', 'itch', 'prickling', 'swelling']
insulin;['fever', 'nausea', 'vomiting', 'weight gain']
insulinoma;['anxiety', 'confusion', 'palpitation', 'perspiration', 'vertigo', 'weight gain', 'worry']
intercostal;['cough', 'swelling']
interstitial;['anxiety', 'chronic pain', 'confusion', 'cough', 'depression', 'eye pain', 'fatigue', 'fever', 'irritable bowel syndrome', 'joint pain', 'nausea', 'rash', 'sensitivity light', 'shortness breath', 'swelling', 'vomiting', 'weight gain', 'weight loss']
intestinal;['abdominal pain', 'bloat', 'constipation', 'diarrhea', 'fever', 'nausea', 'swelling', 'vomiting', 'weight loss']
intolerance;['abdominal bloating', 'bloat', 'cold intolerance', 'diarrhea', 'hypothyroidism', 'irritability', 'jaundice', 'nausea', 'vomiting']
intoxication;['agitation', 'anxiety', 'breathing problems', 'confusion', 'fever', 'high blood pressure', 'irritability', 'memory loss', 'nausea', 'perspiration', 'restlessness', 'seizure', 'slurred speech', 'tremor', 'vertigo', 'vomiting']
intracranial;['back pain', 'blurred vision', 'cough', 'double vision', 'nausea', 'neck pain', 'numbness', 'seizure', 'tinnitus', 'vertigo', 'vomiting', 'weakness', 'worry']
intrahepatic;['blood clots']
intravascular;['blood clots', 'bruise', 'confusion', 'fever', 'memory loss', 'shortness breath']
intraventricular;['seizure']
intravitreal;['swelling']
intussusception;['abdominal pain', 'fever', 'perspiration', 'vomiting']
iontophoresis;['excessive sweating', 'perspiration']
irritable;['abdominal pain', 'bloat', 'blood stool', 'constipation', 'diarrhea', 'weight loss']
ischemia;['abdominal pain', 'bloat', 'blood clots', 'diarrhea', 'fever', 'jaundice', 'loss appetite', 'nausea', 'vomiting']
ischemic;['confusion', 'loss balance', 'memory loss', 'numbness', 'prickling', 'vertigo', 'weakness']
itch;['itch']
itching;['diarrhea', 'dry eyes', 'dry skin', 'itch']
ito;['seizure']
itp;['bruise', 'rash']
jaundice;['dark urine', 'nausea', 'weight loss', 'abdominal pain', 'fatigue', 'diarrhea', 'fever', 'jaundice', 'vomiting', 'itch']
jirovecii;['cough', 'fever', 'rapid breathing', 'shortness breath']
jock;['itch']
joint;['joint pain', 'knee pain', 'stiffness', 'swelling']
juvenile;['back pain', 'bruise', 'eye pain', 'fever', 'hearing loss', 'pale skin', 'rash', 'red eyes', 'stiffness', 'stuffy nose', 'swelling', 'worry']
kaposi;['shortness breath']
